Genome	Size	Apl_USS	Hin_USS	Total_USS
GCA_000027305.1	1830138	30.5987854467805	803.764524860967	834.363310307747
GCA_002263255.2	2538577	16.5447020121903	39.3921476480721	55.9368496602624
GCA_003184385.1	2047595	30.7678032032702	709.612984989708	740.380788192978
GCA_003265205.1	1908592	14.1465541089976	18.8620721453302	33.0086262543278
GCA_003265225.1	1887503	15.3642139906533	20.1324183325801	35.4966323232334
GCA_008086365.1	2316234	18.1328829470598	782.736113881413	800.868996828473
GCA_011455275.1	2342496	535.753316120924	20.9178585577094	556.671174678633
GCA_012221805.1	2314446	211.281663084816	17.2827536265698	228.564416711386
GCA_013377215.1	2334743	371.347081884387	21.4156333266659	392.762715211053
GCA_021764795.1	1902918	21.5458574673212	685.788877923274	707.334735390595
GCA_023516295.1	2234002	416.740898172875	29.5433934257892	446.284291598664
GCA_023587705.1	2398379	15.8440346584089	395.266969899253	411.111004557662
GCA_023611925.1	2585160	19.3411626359684	603.831097494933	623.172260130901
GCA_024205305.1	2551416	382.140740671063	33.7067730232937	415.847513694357
GCA_025884415.1	2529853	14.2300758186345	621.775257297558	636.005333116193
GCA_025884555.1	2399548	17.5032964541655	638.036830269701	655.540126723866
GCA_026013665.1	2359372	16.1059807440285	26.7020207072051	42.8080014512336
GCA_029623735.1	1991359	28.6236685600135	763.799997890888	792.423666450901
GCA_029773605.1	1883708	298.878594771589	25.4816563926044	324.360251164193
GCA_029773625.1	2317799	332.211723277126	30.6325095489298	362.844232826056
GCA_029773645.1	2262470	333.706082290594	30.9396367686643	364.645719059258
GCA_029773665.1	2427723	385.958365101785	30.8931455524374	416.851510654222
GCA_029773705.1	2416529	387.746226095362	31.8638841081568	419.610110203519
GCA_029773745.1	2412648	381.323757133241	28.184799440283	409.508556573524
GCA_029773855.1	2394597	383.363046057437	30.4852966908419	413.848342748279
GCA_029773895.1	2346964	385.178468864456	27.2692721319969	412.447740996453
GCA_029773935.1	2338909	380.946843164911	29.5009339824679	410.447777147379
GCA_029773955.1	2385345	380.238497995049	28.5074066854061	408.745904680455
GCA_029773975.1	2326449	400.180704584541	26.2202180232621	426.400922607803
GCA_029773995.1	2378885	395.983832761987	29.4255502052432	425.40938296723
GCA_029774035.1	2371110	389.69090426003	28.256807992881	417.947712252911
GCA_029774075.1	2339006	381.358577104975	29.0721785236977	410.430755628673
GCA_029774095.1	2402576	381.673670260587	27.8867349045358	409.560405165123
GCA_029774115.1	2394310	379.650087081456	33.4125489180599	413.062635999516
GCA_029774155.1	2266746	305.724593756866	31.3224331266053	337.047026883471
GCA_029774175.1	2368401	325.958315335959	34.2002895624516	360.158604898411
GCA_030059825.1	2249793	446.263278443839	15.1125014612455	461.375779905085
GCA_030144815.1	2153240	25.0784863740224	689.193958871282	714.272445245304
GCA_030252265.1	2808201	16.7366937053295	46.2929825892093	63.0296762945388
GCA_030252285.1	2599652	15.7713417026587	28.4653484389449	44.2366901416036
GCA_030252305.1	2556156	18.3869842059718	45.380641870058	63.7676260760298
GCA_030517085.1	2635233	18.9736543220277	31.1167930881254	50.0904474101531
GCA_031191205.1	2141689	22.8791388478906	693.377983451379	716.25712229927
GCA_038431805.1	2025102	26.6653235244447	772.306777633917	798.972101158362
GCA_038431875.1	2007169	24.9107075687199	786.181930868801	811.092638437521
GCA_041734645.1	1922254	20.2886819327727	173.75435296272	194.043034895493
GCA_042468235.1	2158475	18.9948922271511	556.874645293552	575.869537520703
GCA_042470565.1	2191424	14.6023772670191	594.590549341433	609.192926608452
GCA_042926695.1	2550855	18.4251946896237	442.596697969896	461.02189265952
GCA_045290315.1	2182197	20.6214196060209	609.935766569196	630.557186175217
GCA_900637805.1	2439769	23.3628675501656	692.688529118945	716.051396669111
GCA_900638075.1	2361607	381.096431370673	28.7939525924508	409.890383963124
GCF_000007745.1	2314078	41.0530673555515	641.724263399937	682.777330755488
GCF_000165525.1	1932306	27.4283679707044	795.422671150429	822.851039121133
GCF_000209675.1	2687335	17.4452765800131	44.5411316936506	61.9864082736637
GCF_000210895.1	2086875	24.4384546271339	699.610661874813	724.049116501947
GCF_000521605.1	2393449	406.108507012266	17.1300913451676	423.238598357434
GCF_000521655.1	2245238	395.949115416718	21.378579910014	417.327695326732
GCF_000521695.1	2131927	406.674337348324	17.8242500798573	424.498587428181
GCF_000521725.1	2340975	266.55560183257	20.5042770640438	287.059878896614
GCF_000973525.1	2079121	17.3150095641379	376.60145802	393.916467584138
GCF_001188835.1	2313256	15.9947710067541	803.196879204031	819.191650210785
GCF_001262035.1	2414427	18.6379625476355	806.816689839867	825.454652387503
GCF_001611775.1	2277540	222.608604020127	53.5665674367958	276.175171456923
GCF_001647655.1	1667451	118.74411901759	20.3904042757478	139.134523293338
GCF_001647695.1	1589620	121.412664661995	16.3561102653464	137.768774927341
GCF_002591855.1	2313859	31.1085129741942	730.185929533169	761.294442507363
GCF_002777455.1	2348962	224.780136928567	54.0664344506212	278.846571379188
GCF_002849775.1	2384333	333.812589860599	22.0874747348461	355.900064595445
GCF_002998595.1	1805716	23.8132685317071	699.445538501071	723.258807032778
GCF_003061265.1	2277636	17.1230170229132	407.439994801628	424.563011824541
GCF_003101015.1	2263191	267.321671038812	40.6505681579681	307.97223919678
GCF_003261035.1	2167239	400.048171890594	17.072413333278	417.120585223872
GCF_003351405.1	1916320	20.8733405694247	745.178258328463	766.051598897888
GCF_003351425.1	1817261	29.1647704980187	812.761623124031	841.92639362205
GCF_003351445.1	1860196	28.4916213130229	804.753907652742	833.245528965765
GCF_003351625.1	1822569	20.849690738732	767.59782482858	788.447515567312
GCF_003352345.1	1914782	27.6793911787347	784.423500952067	812.102892130802
GCF_003352385.1	1973061	23.8208550065102	757.199093185664	781.019948192174
GCF_003390455.1	2148960	22.8017273471819	686.843868662051	709.645596009233
GCF_003425465.1	1833710	29.9938376297233	818.01375353791	848.007591167633
GCF_003425625.1	1833305	29.4550006681921	814.921685153316	844.376685821508
GCF_003425645.1	1908143	25.6794171086758	797.110069842774	822.78948695145
GCF_004104465.2	2067650	27.5675283534447	629.700384494474	657.267912847919
GCF_004519515.1	2251645	379.722380748297	32.420741280264	412.143122028561
GCF_007975365.1	2583293	381.683378540491	34.8392536193146	416.522632159806
GCF_008586825.1	1984979	26.7005343633358	777.338198540136	804.038732903472
GCF_008831525.1	1887343	28.0818060098244	794.23824922126	822.320055231084
GCF_009684715.1	2019124	188.200427512129	7.92422852682649	196.124656038955
GCF_009828705.1	2143704	407.705541436691	17.2598455756952	424.965387012386
GCF_010587025.1	2607636	24.9267919295485	676.858273163893	701.785065093442
GCF_011455495.1	2136304	533.631917554805	21.064417798216	554.696335353021
GCF_011455695.1	2278480	376.566834029704	25.0166777851901	401.583511814894
GCF_012850815.1	2416187	16.5550100219892	645.645390857579	662.200400879568
GCF_013377195.1	2125638	12.2316217530925	342.48540908659	354.717030839682
GCF_013377235.1	2139787	402.376498221552	18.6934493947295	421.069947616282
GCF_013377295.1	2245511	97.9732452880436	6.23466106378459	104.207906351828
GCF_013378015.1	2245863	417.635256370595	18.1196248795708	435.754881250166
GCF_013390325.1	2246429	390.842532748642	19.5866417322782	410.42917448092
GCF_014541205.1	2155161	437.554317287664	19.9521056663516	457.506422954016
GCF_014931275.1	2018144	28.7392772765472	703.616788494775	732.356065771322
GCF_014931295.1	2022727	27.6853969912895	703.011330743101	730.69672773439
GCF_014931315.1	2015253	27.2918586400814	694.701856292982	721.993714933063
GCF_014931335.1	1942899	24.7273931070121	712.047993346817	736.775386453829
GCF_014931355.1	1926530	23.8771262321376	715.275651040991	739.152777273129
GCF_014931375.1	2009890	26.9933351001698	707.716167535361	734.709502635531
GCF_014931395.1	2177054	26.1821709521215	684.8704717476	711.052642699722
GCF_014931415.1	1994590	22.5610275796028	711.925759178578	734.486786758181
GCF_014931435.1	1953198	20.991215432332	718.82113334132	739.812348773652
GCF_014931455.1	2000745	21.9918080515008	733.226872989811	755.218681041312
GCF_014931475.1	2034148	27.2797625799189	701.616349862477	728.896112442396
GCF_015356115.1	2496734	37.649184895147	693.706257855262	731.355442750409
GCF_016889385.1	2092164	248.392731837595	41.5580147497515	289.950746587346
GCF_017798005.1	1999512	22.5054913398869	809.697566206154	832.203057546041
GCF_018128305.1	1893926	15.9818858212833	897.047784807516	913.029670628799
GCF_018343795.1	2301649	102.969653496254	13.4686044657548	116.438257962009
GCF_019703545.1	1902536	26.2807116396221	804.189776172435	830.470487812057
GCF_019703595.1	1914722	30.2916036897262	789.670772049415	819.962375739141
GCF_019703675.1	1884503	31.3079894274512	792.251325681095	823.559315108546
GCF_019703695.1	1911890	28.7673454016706	801.301330097443	830.068675499114
GCF_019703715.1	1791343	28.470259464547	816.705678365338	845.175937829885
GCF_019703735.1	1882642	26.5584216223796	798.877322401179	825.435744023559
GCF_019930705.1	1902597	31.5358428505879	808.368771736737	839.904614587325
GCF_019973675.1	1895310	24.2704359708966	784.040605494616	808.311041465513
GCF_020809485.1	2331529	18.8717361010736	790.039497685853	808.911233786927
GCF_020810675.1	2217824	13.5157356952832	367.628010911704	381.143746606987
GCF_021952605.1	2309071	334.766665901568	36.8113410111686	371.578006912737
GCF_022964995.1	2675016	15.3270111281577	602.239388474686	617.566399602844
GCF_023517815.1	2102524	20.4516095892366	837.089136675729	857.540746264966
GCF_030517105.1	2839612	15.4950746792167	15.8472354673808	31.3423101465975
GCF_031583005.1	2347109	18.3204103431072	402.196915439377	420.517325782484
GCF_036288925.1	2228071	24.2362115031343	609.495837430674	633.732048933808
GCF_044096575.1	1874942	27.7341912443158	812.291793559481	840.025984803797
GCF_900186995.1	2181355	22.0046714083677	93.9782841399039	115.982955548272
GCF_900444945.1	2227799	339.813639046376	29.9572550211936	369.77089406757
GCF_900475535.1	2044007	29.3541069086358	755.379017782229	784.733124690865
GCF_900475755.1	1834484	30.5262951325822	806.766371361102	837.292666493684
GCF_900475885.1	1993258	26.5896336550512	766.082463986097	792.672097641148
GCF_900476035.1	2022832	18.2911878000744	877.48265797654	895.773845776615
GCF_900477945.1	1934644	22.7432023669471	753.627023886565	776.370226253512
GCF_900478265.1	2290909	16.1507942916982	795.753999831508	811.904794123206
GCF_900635775.1	2230476	21.9684049503335	702.092288820862	724.060693771195
GCF_900635805.1	1879945	27.1284532260252	799.491474484626	826.619927710651
GCF_900637275.1	2257472	31.4511099140986	756.155558075582	787.606667989681
GCF_900638025.1	2062405	22.7889284597351	618.695164140894	641.484092600629
GCF_900638095.1	2409583	18.260420994006	567.733089086369	585.993510080375
GCF_900638155.1	2335738	402.442397220921	34.6785469945687	437.12094421549
GCF_900638385.1	1837244	15.7845120190895	25.5817953412829	41.3663073603724
GCF_920939465.1	2071265	17.3806828194364	881.586856341415	898.967539160851
GCF_963693435.1	2223678	118.722225070356	8.99410795987549	127.716333030231
